polish,english,type,level
mieć (posiłkowy),have,czasownik posiłkowy,A2
mieć (w pytaniach o radę),shall,czasownik modalny,A2
mieć coś przeciwko,mind,czasownik,A2
mieć dostęp,access,czasownik,B1
mieć na myśli,mean,czasownik,A1
mieć na sobie,wear,czasownik,A1
mieć na własność,own,czasownik,A2
mieć nachylenie,slope,czasownik,B2
mieć nadzieję,hope,czasownik,A1
mieć ochotę na,fancy,czasownik,B1
mieć pozwolenie,may,czasownik modalny,A2
mieć skłonność,tend,czasownik,B1
mieć znaczenie,matter,czasownik,A2
mieć zwyczaj,used to,czasownik modalny,A2
mieścić,house,czasownik,B2
mieścić (liczbę osób),seat,czasownik,B2
mieścić się,fit,czasownik,A2
mieścić się w przedziale,range,czasownik,B2
migać,flash,czasownik,B2
mijać,pass,czasownik,A2
mila,mile,rzeczownik,A1
milczenie,silence,rzeczownik,B2
milczący,silent,przymiotnik,B1
mile widziany,welcome,wykrzyknik / przymiotnik,A1
miliard,billion,liczebnik,A2
milion,million,liczebnik,A1
militarny,military,przymiotnik,B2
mimo,despite,przyimek,B1
mimo to,yet,spójnik,B2
mimo że,although,spójnik,A2
mina,mine,rzeczownik,B1
minerał,mineral,rzeczownik,B2
minimalny,minimum,przymiotnik,B2
minimum,minimum,rzeczownik,B2
minione,past,przysłówek,A2
miniony,past,przymiotnik,A1
minister,minister,rzeczownik,B2
minuta,minute,rzeczownik,A1
misja,mission,rzeczownik,B2
miska,bowl,rzeczownik,A2
mistrz,"champion, master",rzeczownik,B1
międzynarodowy,international,przymiotnik,A2
miękki,soft,przymiotnik,A2
mięsień,muscle,rzeczownik,B1
mięso,meat,rzeczownik,A1
miłość,love,rzeczownik,A1
miły,"friendly, kind (caring), lovely, nice, pleasant, sweet",przymiotnik,A1
mleko,milk,rzeczownik,A1
mnie,me,zaimek,A1
mniej,less,określnik / zaimek,A2
mniej,less,przysłówek,A2
mniejszość,minority,rzeczownik,B2
mniejszy,minor,przymiotnik,B2
mnożyć,multiply,czasownik,B2
mnóstwo,lot,określnik,A1
mnóstwo,"lot, plenty",zaimek,A1
mną,me,zaimek,A1
mobilny,mobile,przymiotnik,A2
moc,power,rzeczownik,A2
mocno,"hard, heavily, strongly",przysłówek,A1
mocny,strong,przymiotnik,A1
mocować,fasten,czasownik,B1
moda,fashion,rzeczownik,A2
model,model,rzeczownik,A1
modelować,model,czasownik,B2
modlitwa,prayer,rzeczownik,B1
modlić się,pray,czasownik,B1
modny,fashionable,przymiotnik,B1
modyfikować,modify,czasownik,B2
mogła (przeszłość od can),could,czasownik modalny,A1
moja,my,określnik,A1
moja,mine,zaimek,A2
moje,my,określnik,A1
moje (zaimek dzierżawczy),mine,zaimek,A2
mokry,wet,przymiotnik,A2
moment,moment,rzeczownik,A1
moneta,coin,rzeczownik,B1
monitor,"monitor, screen",rzeczownik,B2
monitorować,monitor,czasownik,B2
montować,"install, mount",czasownik,B2
moralny,moral,przymiotnik,B2
morał,moral,rzeczownik,B2
morderstwo,murder,rzeczownik,B1
mordować,murder,czasownik,B1
morze,sea,rzeczownik,A1
most,bridge,rzeczownik,A2
motocykl,motorcycle,rzeczownik,A2
motoryczny,motor,przymiotnik,B2
motyw,theme,rzeczownik,B1
mowa,speech,rzeczownik,A2
może,"maybe, perhaps",przysłówek,A1
możliwie,possibly,przysłówek,B1
możliwość,"opportunity, possibility",rzeczownik,A2
możliwy,possible,przymiotnik,A1
mrozić,freeze,czasownik,B1
msza,mass,rzeczownik,B2
mucha,fly,rzeczownik,A2
mundur,uniform,rzeczownik,A2
mur,wall,rzeczownik,A1
musical,musical,rzeczownik,B1
musieć,"have to, must, need",czasownik modalny,A1
muszla,shell,rzeczownik,B1
muzeum,museum,rzeczownik,A1
muzyczny,musical,przymiotnik,A2
muzyk,musician,rzeczownik,A2
muzyka,music,rzeczownik,A1
muzyka pop,pop,rzeczownik / przymiotnik,A2
my,we,zaimek,A1
my sami,ourselves,zaimek,A2
mycie,"wash, washing",rzeczownik,A2
mydło,soap,rzeczownik,A2
mylić,confuse,czasownik,B1
mylący,confusing,przymiotnik,B2
mysz,mouse,rzeczownik,A1
myć,wash,czasownik,A1
myśl,thought,rzeczownik,A2
myślenie,thinking,rzeczownik,A2
myśleć,think,czasownik,A1
móc,"can (modal), may",czasownik modalny,A1
móc (prawdopodobieństwo),might,czasownik modalny,A2
mógł,could,czasownik modalny,A1
mój,my,określnik,A1
mój,mine,zaimek,A2
mówca,speaker,rzeczownik,A2
mówiony,spoken,przymiotnik,B1
mówić,"say, speak, tell",czasownik,A1
mózg,brain,rzeczownik,A2
mącić w głowie,confuse,czasownik,B1
mądry,"clever, wise",przymiotnik,A2
mąka,flour,rzeczownik,B1
mąż,husband,rzeczownik,A1
męski,male,przymiotnik,A2
mężczyzna,"male, man",rzeczownik,A2
młodość,youth,rzeczownik,B1
młodszy stażem,junior,przymiotnik,B2
młody,young,przymiotnik,A1
młodzi ludzie,young,rzeczownik,B1
młodzież,youth,rzeczownik,B1
na,"at, on, onto, per, upon",przyimek,A1
na całym świecie,worldwide,przymiotnik / przysłówek,B1
na dole,"down, downstairs",przysłówek,A1
na drugą stronę,across,przysłówek,A1
na dworze,outdoors,przysłówek,B1
na dół,down,przysłówek,A1
na emeryturze,retired,przymiotnik,B1
na górze,"up, upstairs",przysłówek,A1
na parterze,downstairs,przysłówek,A1
na pewno,"certainly, definitely, surely",przysłówek,A2
na piętrze,upstairs,przysłówek,A1
na plusie,plus,przymiotnik / spójnik / rzeczownik,B2
na południe,south,przysłówek,A1
na północ,north,przysłówek,A1
na szczęście,fortunately,przysłówek,A2
na temat,about,przyimek,A1
na wschód,east,przysłówek,A1
na wylot,through,przysłówek,A1
na zachód,west,przysłówek,A1
na zawsze,forever,przysłówek,B1
na zewnątrz,"outdoors, outside",przysłówek,B1
na zewnątrz,out,przysłówek / przyimek,A1
na zewnątrz (czegoś),outside,przyimek,A2
na żywo,live (broadcast),przymiotnik,B1
na żywo,live (broadcast),przysłówek,B1
nabożeństwo,service,rzeczownik,A2
nabywać,purchase,czasownik,B2
nabyć,acquire,czasownik,B2
nachylenie,slope,rzeczownik,B2
nacisk,"emphasis, press, pressure, stress",rzeczownik,B2
naciskać,press,czasownik,B1
naczelny,chief,przymiotnik,B2
naczynie,dish,rzeczownik,A1
nad,"above, over",przyimek,A1
nad (bardziej formalne on),upon,przyimek,B1
nadający się,suitable,przymiotnik,B1
nadal,still,przysłówek,A1
nadawać,broadcast,czasownik,B2
nadawać tempo,pace,czasownik,B2
nadmieniać,mention,czasownik,A2
nadmienić,remark,czasownik,B2
nadzieja,hope,rzeczownik,A2
nadzorować,monitor,czasownik,B2
nadzwyczajny,extraordinary,przymiotnik,B2
nagle,suddenly,przysłówek,A2
naglić,urge,czasownik,B2
nagradzać,reward,czasownik,B2
nagranie,"recording, tape",rzeczownik,A2
nagroda,"award, prize, reward",rzeczownik,A2
nagrywać,record,czasownik,A2
nagły,sudden,przymiotnik,B1
nagły wypadek,emergency,rzeczownik,B1
nagłówek,headline,rzeczownik,B1
najbardziej,most,przysłówek,A1
najgorsze,worst,rzeczownik,B2
najgorszy,worst,przymiotnik,A2
najgorzej,worst,przysłówek,B1
najlepiej,best,przysłówek,A2
najlepszy,best,przymiotnik,A1
najmniej,least,określnik / zaimek,A2
najmniej,least,przysłówek,A2
najnowszy,latest,przymiotnik,B1
najpierw,first,przysłówek,A1
najważniejszy,"key, prime",przymiotnik,A1
najważniejszy punkt,highlight,rzeczownik,B1
najwięcej,most,określnik / zaimek,A1
najwyraźniej,"apparently, obviously",przysłówek,B2
najwyższy,top,przymiotnik,A2
nakręcać,wind (turn),czasownik,B2
nakrętka,nut,rzeczownik,A2
nakładać,impose,czasownik,B2
nalegać,insist,czasownik,B2
nalewać,pour,czasownik,B1
należeć,belong,czasownik,A2
należny,due,przymiotnik,B1
nam,us,zaimek,A1
nami,us,zaimek,A1
namiot,tent,rzeczownik,B1
namiętność,passion,rzeczownik,B1
namysł,consideration,rzeczownik,B2
napełniać,fill,czasownik,A1
napisany,written,przymiotnik,B1
napiwek,tip,rzeczownik,A2
napotykać,encounter,czasownik,B2
naprawa,repair,rzeczownik,B1
naprawdę,"actually, really, truly",przysłówek,A2
naprawiać,"fix, repair",czasownik,A2
naprzeciwko,opposite,przymiotnik / przysłówek / przyimek,A1
naprzód,"along, forward",przysłówek,A2
napychać,stuff,czasownik,B2
napój,drink,rzeczownik,A1
napędzać,fuel,czasownik,B2
narażać,expose,czasownik,B2
narciarstwo,skiing,rzeczownik,A2
narkotyk,drug,rzeczownik,A2
narodowy,national,przymiotnik,A2
narodziny,birth,rzeczownik,A2
narracja,narrative,rzeczownik,B1
narracyjny,narrative,przymiotnik,B1
narta,ski,rzeczownik,A2
narzekać,complain,czasownik,A2
narzucać,impose,czasownik,B2
narząd,organ,rzeczownik,B2
narzędzie,tool,rzeczownik,A2
naród,nation,rzeczownik,B1
nas,us,zaimek,A1
nasadka,cap,rzeczownik,B1
nasiono,seed,rzeczownik,B1
nastawiać,set (put),czasownik,B1
nastawienie,attitude,rzeczownik,B1
nastolatek,teenager,rzeczownik,A1
nastolatka,teenager,rzeczownik,A1
nastoletni,teenage,przymiotnik,A2
nastrój,"atmosphere, mood, spirit",rzeczownik,B1
nastąpić po,succeed,czasownik,A2
następna osoba,next,rzeczownik,B1
następna rzecz,next,rzeczownik,B1
następne (rzeczy),following,rzeczownik,B1
następnie,"next, then",przysłówek,A1
następny,next,przymiotnik,A1
następować po,follow,czasownik,A1
następujący,following,przymiotnik,A2
nasz,our,określnik,A1
nasz (zaimek dzierżawczy),ours,zaimek,B1
naszkicować,outline,czasownik,B2
natomiast,whereas,spójnik,B2
natura,nature,rzeczownik,A2
naturalnie,naturally,przysłówek,B1
naturalny,natural,przymiotnik,A1
natychmiast,immediately,przysłówek,A2
natychmiastowy,immediate,przymiotnik,B1
natłok,rush,rzeczownik,B2
nauczanie,teaching,rzeczownik,A2
nauczyciel,teacher,rzeczownik,A1
nauczycielka,teacher,rzeczownik,A1
nauka,"learning, study",rzeczownik,A2
nauka (przedmiot),science,rzeczownik,A1
naukowiec,"academic, researcher, scientist",rzeczownik,B2
naukowy,scientific,przymiotnik,B1
nawałnica,storm,rzeczownik,A2
nawet,even,przysłówek,A1
nawyk,habit,rzeczownik,A2
nazwa,name,rzeczownik,A1
nazywać,"call, name, term",czasownik,A1
naśladować,copy,czasownik,A2
negatywny,negative,przymiotnik,A1
nerw,nerve,rzeczownik,B2
nerwowy,nervous,przymiotnik,A2
nic,"anything, none, nothing",zaimek,A1
nie,not,przysłówek,A1
nie,no,wykrzyknik,A1
nie będący w stanie,unable,przymiotnik,B1
nie lubić,dislike,czasownik,B1
nie mieć,lack,czasownik,B1
nie móc,cannot,czasownik,A1
nie udać się,fail,czasownik,A2
nie zgadzać się,disagree,czasownik,A2
niebezpieczeństwo,danger,rzeczownik,A2
niebezpieczny,dangerous,przymiotnik,A1
niebieski,blue,przymiotnik,A1
niebo,sky,rzeczownik,A2
niebo (w sensie religijnym),heaven,rzeczownik,B2
niechęć,dislike,rzeczownik,B1
niecierpliwy,impatient,przymiotnik,B2
nieco,"any, slightly, somewhat",przysłówek,A2
niedaleko,near,przyimek,A1
niedawno,recently,przysłówek,A2
niedawny,recent,przymiotnik,A2
niedbały,careless,przymiotnik,B1
niedziela,Sunday,rzeczownik,A1
niedługo,soon,przysłówek,A1
niedźwiedź,bear (animal),rzeczownik,A2
nieformalny,informal,przymiotnik,A2
niej,her,zaimek / określnik,A1
niekorzyść,disadvantage,rzeczownik,B1
niektóre,some,określnik / zaimek,A1
nielegalny,illegal,przymiotnik,B1
niemniej jednak,nevertheless,przysłówek,B2
niemodny,old-fashioned,przymiotnik,B1
niemowlę,baby,rzeczownik,A1
niemożliwy,impossible,przymiotnik,A2
niemądry,silly,przymiotnik,B1
nienawidzić,hate,czasownik,A1
nienawiść,hate,rzeczownik,B1
nieostrożny,careless,przymiotnik,B1
nieparzysty,odd,przymiotnik,B1
niepełnoletni,minor,przymiotnik,B2
niepodległy,independent,przymiotnik,A2
niepokoić,"alarm, bother, concern, trouble",czasownik,B2
niepokój,concern,rzeczownik,B2
niepotrzebny,unnecessary,przymiotnik,B1
niepowodzenie,failure,rzeczownik,B2
nieprawidłowo,wrong,przysłówek,B1
nieprawidłowy,wrong,przymiotnik,A1
nieprzyjemny,unpleasant,przymiotnik,B1
nieprzytomny,unconscious,przymiotnik,B2
nieruchomość,"estate, property",rzeczownik,B2
nieruchomy,still,przymiotnik,B1
niesamowicie,incredibly,przysłówek,B1
niesamowity,"amazing, incredible",przymiotnik,A1
niespodzianka,surprise,rzeczownik,A2
niespodziewany,unexpected,przymiotnik,B2
niespotykany,unusual,przymiotnik,A2
niesprawiedliwy,unfair,przymiotnik,B1
niestety,"sadly, unfortunately",przysłówek,A2
nieszczęśliwy,unhappy,przymiotnik,A2
nieuczciwy,dishonest,przymiotnik,B2
nieuprzejmy,rude,przymiotnik,A2
nieustanny,constant,przymiotnik,B2
niewiarygodnie,incredibly,przysłówek,B1
niewiarygodny,incredible,przymiotnik,A2
niewidomy,blind,przymiotnik,B2
niewielki,slight,przymiotnik,B2
niewielu,few,zaimek,A1
niewinny,innocent,przymiotnik,B1
niewolnica,slave,rzeczownik,B2
niewolnik,slave,rzeczownik,B2
niewygodny,uncomfortable,przymiotnik,B1
niezależny,independent,przymiotnik,A2
niezawodny,reliable,przymiotnik,B1
niezbędny,"essential, necessary, vital",przymiotnik,B1
niezdolny,unable,przymiotnik,B1
niezmienny,fixed,przymiotnik,B1
nieznajomy,stranger,rzeczownik,B1
nieznany,unknown,przymiotnik,B2
niezwykle,extremely,przysłówek,A2
niezwykły,"extraordinary, unusual",przymiotnik,B2
nieład,mess,rzeczownik,B1
nieśmiały,shy,przymiotnik,B1
nieświadomy,unconscious,przymiotnik,B2
nieść,carry,czasownik,A1
nigdy,never,przysłówek,A1
nigdzie,nowhere,przysłówek,A2
nikczemny,evil,przymiotnik,B2
nikt,"anybody, anyone, no one, nobody, none",zaimek,A2
nim,him,zaimek,A1
nimi,them,zaimek,A1
niski,"low, short",przymiotnik,A2
niski poziom,low,rzeczownik,B2
nisko,low,przysłówek,A2
niszczyć,"damage, destroy",czasownik,B1
niż,low,rzeczownik,B2
niż,than,spójnik,A1
no cóż,well,wykrzyknik,A1
noc,night,rzeczownik,A1
noga,leg,rzeczownik,A1
norma,"normal, standard",rzeczownik,B1
normalnie,normally,przysłówek,A2
normalny,normal,przymiotnik,A2
nos,nose,rzeczownik,A1
nosić,"carry, wear",czasownik,A1
notatka,note,rzeczownik,A1
nowoczesny,modern,przymiotnik,A1
nowotwór,cancer,rzeczownik,B2
nowy,new,przymiotnik,A1
nudny,boring,przymiotnik,A1
nuklearny,nuclear,przymiotnik,B1
numer,"issue, number",rzeczownik,B1
numerować,number,czasownik,A2
nurt,current,rzeczownik,B2
nóż,knife,rzeczownik,A2
o,"about, of",przyimek,A1
o,oh,wykrzyknik,A1
o rany,wow,wykrzyknik,A2
o rany!,dear,wykrzyknik,A2
o wiele,much,przysłówek,A1
o znaczeniu historycznym,historic,przymiotnik,B1
oba,both,określnik,A1
oba,both,zaimek,A1
obaj,both,określnik,A1
obawiający się,afraid,przymiotnik,A1
obcas,heel,rzeczownik,B2
obcisły,tight,przymiotnik,B1
obciążenie,load,rzeczownik,B2
obcy,"foreign, strange",przymiotnik,A2
obcy,stranger,rzeczownik,B1
obecnie,currently,przysłówek,B1
obecność,presence,rzeczownik,B2
obecny,present,przymiotnik,A1
obiad,"dinner, lunch",rzeczownik,A1
obiecywać,promise,czasownik,A2
obiekt,"facility, object",rzeczownik,B2
obiektywny,objective,przymiotnik,B2
obietnica,promise,rzeczownik,A2
objaw,symptom,rzeczownik,B1
objętość,volume,rzeczownik,B2
oblać,fail,czasownik,A2
obliczać,calculate,czasownik,B2
obligacja,bond,rzeczownik,B2
obniżać,lower,czasownik,B2
obniżać cenę,discount,czasownik,B2
obniżać się,decline,czasownik,B2
obniżenie,decline,rzeczownik,B2
obniżka,reduction,rzeczownik,B2
oboje,both,określnik,A1
oboje,both,zaimek,A1
obok,"by, next to, past",przyimek,A1
obok,"by, past",przysłówek,B1
obowiązek,"duty, obligation",rzeczownik,B1
obozować,camp,czasownik,A2
obracać (się),turn,czasownik,A1
obraz,"image, painting, picture",rzeczownik,A2
obraza,offence,rzeczownik,B2
obrazować,illustrate,czasownik,B2
obraźliwy,offensive,przymiotnik,B2
obrażać,offend,czasownik,B2
obrona,defence,rzeczownik,B2
obrót,turn,rzeczownik,A1
obsada (filmu),cast,rzeczownik,B2
obsadzać role,cast,czasownik,B2
obserwacja,"observation, watch",rzeczownik,B2
obserwować,"observe, watch",czasownik,B2
obszar,"area, zone",rzeczownik,A1
obsługa,service,rzeczownik,A2
obsługiwać,"handle, operate, serve, support",czasownik,B2
obudowa,housing,rzeczownik,B2
obwiniać,blame,czasownik,B2
obyczaj,custom,rzeczownik,B1
obywatel,citizen,rzeczownik,B2
obywatelski,civil,przymiotnik,B2
obóz,camp,rzeczownik,A2
ocalenie,"rescue, saving",rzeczownik,B2
ocalić,rescue,czasownik,B2
ocean,ocean,rzeczownik,A2
ocena,"assessment, grade, mark",rzeczownik,B2
oceniać,"assess, estimate, evaluate, grade, judge, mark, rate",czasownik,B2
och,oh,wykrzyknik,A1
ochrona,"protection, security",rzeczownik,B2
oczekiwanie,expectation,rzeczownik,B2
oczekiwany,expected,przymiotnik,B1
oczywisty,"apparent, obvious",przymiotnik,B2
oczywiście,"certainly, naturally, obviously, sure",przysłówek,A2
od,from,przyimek,A1
od,since,przyimek / spójnik,A2
od (np. od powierzchni),off,przysłówek,A1
od (przynależność),of,przyimek,A1
od czasu do czasu,occasionally,przysłówek,B2
od czasu gdy,since,przyimek / spójnik,A2
od tego czasu,since,przysłówek,B1
odbierać,receive,czasownik,A2
odbijać,reflect,czasownik,B1
odbitka,print,rzeczownik,B2
odbywający się na zewnątrz,outdoor,przymiotnik,B1
odbywający się wewnątrz,indoor,przymiotnik,B1
odcień,shade,rzeczownik,B2
odcinek,"episode, section, stretch",rzeczownik,B1
oddanie,commitment,rzeczownik,B2
oddech,breath,rzeczownik,B1
oddychanie,breathing,rzeczownik,B1
oddychać,breathe,czasownik,B1
oddział,branch,rzeczownik,B1
oddzielać,separate,czasownik,B1
oddzielnie,apart,przysłówek,B1
oddzielny,separate,przymiotnik,A2
odjazd,departure,rzeczownik,B1
odkrycie,discovery,rzeczownik,A2
odkrywać,discover,czasownik,A2
odległość,distance,rzeczownik,A2
odległy,remote,przymiotnik,B1
odlot,departure,rzeczownik,B1
odmawiać,"decline, deny, refuse",czasownik,B2
odmiana,variety,rzeczownik,A2
odmienny od,unlike,przyimek,B1
odniesienie,reference,rzeczownik,B1
odnosić korzyść,benefit,czasownik,B1
odnosić się do,refer,czasownik,A2
odnoszący sukcesy,successful,przymiotnik,A2
odpadowy,waste,przymiotnik,B1
odpady,waste,rzeczownik,B1
odpalać,launch,czasownik,B2
odpalenie,launch,rzeczownik,B2
odpoczynek,rest (sleep/relax),rzeczownik,A2
odpoczywać,"relax, rest (sleep/relax)",czasownik,A1
odpowiadać,"answer, reply, respond, suit",czasownik,A1
odpowiedni,"appropriate, proper, suitable",przymiotnik,B2
odpowiedzialność,responsibility,rzeczownik,B1
odpowiedzialny,responsible,przymiotnik,B1
odpowiedź,"answer, reply, response",rzeczownik,A1
odprysk,chip,rzeczownik,A2
odrzucać,"dismiss, reject",czasownik,B2
odsetek,percentage,rzeczownik,B1
odsetki,interest,rzeczownik,A1
odstęp,gap,rzeczownik,A2
odsłaniać,"expose, reveal",czasownik,B2
odtrącać,reject,czasownik,B1
odtwarzacz,player,rzeczownik,A1
odwaga,"courage, nerve",rzeczownik,B2
odważny,brave,przymiotnik,B1
odwiedzający,visitor,rzeczownik,A1
odwiedzać,visit,czasownik,A1
odwiedziny,visit,rzeczownik,A1
odwlekać,delay,czasownik,B2
odwołać,cancel,czasownik,B2
odzież,clothing,rzeczownik,A2
odzwierciedlać,reflect,czasownik,B1
odzyskać,recover,czasownik,B2
ofensywny,offensive,przymiotnik,B2
oferować,offer,czasownik,A2
oferta,offer,rzeczownik,A2
ofiara,victim,rzeczownik,B1
oficer,officer,rzeczownik,A2
oficjalny,"formal, official",przymiotnik,A2
ogień,fire,rzeczownik,A1
oglądać,"view, watch",czasownik,B1
ognisko,focus,rzeczownik,A2
ogniwo,link,rzeczownik,A2
ogon,tail,rzeczownik,B1
ograniczać,limit,czasownik,B1
ograniczenie,limit,rzeczownik,B1
ograniczony,limited,przymiotnik,B2
ogrodzenie,fence,rzeczownik,B1
ogromny,"enormous, huge, massive, vast",przymiotnik,A2
ogrzewanie,heating,rzeczownik,B1
ogrzewać (się),warm,czasownik,B1
ogród,garden,rzeczownik,A1
ogólnie,"generally, overall",przysłówek,B1
ogólny,"general, overall, total",przymiotnik,A2
ogół,public,rzeczownik,A2
ogłaszać,declare,czasownik,B2
ogłosić,announce,czasownik,B1
ogłoszenie,"announcement, notice",rzeczownik,B1
ojciec,father,rzeczownik,A1
ojczysty,native,przymiotnik,B1
okazały,grand,przymiotnik,B2
okazja,"chance, occasion, opportunity",rzeczownik,A2
okazyjnie,occasionally,przysłówek,B2
okno,window,rzeczownik,A1
oko,eye,rzeczownik,A1
okolica,neighbourhood,rzeczownik,B1
okoliczność,circumstance,rzeczownik,B2
około,"about, approximately, around",przysłówek,A1
okres,period,rzeczownik,A1
określać,"define, determine, term",czasownik,B1
określenie,term,rzeczownik,A2
określony,definite,przymiotnik,B1
okropny,"awful, horrible, terrible",przymiotnik,A2
okrutny,cruel,przymiotnik,B1
okrągły,round,przymiotnik,A2
okręg,district,rzeczownik,B2
okładka,cover,rzeczownik,B1
olbrzym,giant,rzeczownik,B1
olbrzymi,"enormous, giant, huge",przymiotnik,A2
olej,oil,rzeczownik,A2
omawiać,discuss,czasownik,A1
on,he,zaimek,A1
ona,she,zaimek,A1
one,they,zaimek,A1
oni,they,zaimek,A1
oni sami,themselves,zaimek,A2
online,online,przymiotnik,A1
online,online,przysłówek,A1
ono,it,zaimek,A1
opakowanie,pack,rzeczownik,B1
opanować (np. umiejętność),master,czasownik,B2
oparcie,support,rzeczownik,A2
oparty na,based,przymiotnik,A2
oparzenie,burn,rzeczownik,B2
opaska,band,rzeczownik,A1
opcja,option,rzeczownik,A2
operacja,"operation, surgery",rzeczownik,B1
operator (posiłkowy),do (auxiliary),czasownik posiłkowy,A1
operować,operate,czasownik,B2
opieka,care,rzeczownik,A2
opierać na,base,czasownik,B1
opierać się,"lean, resist",czasownik,B2
opinia,"opinion, reputation",rzeczownik,A1
opis,description,rzeczownik,A1
opisywać,describe,czasownik,A1
opodatkować,tax,czasownik,B1
opona,tyre,rzeczownik,B1
oponent,opponent,rzeczownik,B2
opowiadanie,story,rzeczownik,A1
opowiadać,tell,czasownik,A1
opowieść,"narrative, tale",rzeczownik,B1
opozycja,opposition,rzeczownik,B2
opracowywać,develop,czasownik,A2
oprawiać w ramkę,frame,czasownik,B1
oprogramowanie,software,rzeczownik,B1
oprowadzać,guide,czasownik,A2
oprócz,"but, except",przyimek,B2
opróżniać,empty,czasownik,B1
opuszczać,"desert, leave",czasownik,B2
opóźniać,delay,czasownik,B2
opóźnienie,delay,rzeczownik,B2
opłata,charge,rzeczownik,B1
opłata (np. za szkołę,fee,rzeczownik,B2
organ,organ,rzeczownik,B2
organizacja,organization,rzeczownik,A2
organizacja charytatywna,charity,rzeczownik,A2
organizator,organizer,rzeczownik,B1
organizować,"arrange, hold, organize, stage",czasownik,A2
ortografia,spelling,rzeczownik,A1
oryginalny,original,przymiotnik,A2
oryginał,original,rzeczownik,B1
orzech,nut,rzeczownik,A2
orzeczenie,finding,rzeczownik,B2
osiadły,resident,przymiotnik,B2
osiedlać się,settle,czasownik,B2
osiem,eight,liczebnik,A1
osiemdziesiąt,eighty,liczebnik,A1
osiemnaście,eighteen,liczebnik,A1
osiągnięcie,achievement,rzeczownik,B1
osiągnąć,achieve,czasownik,A2
osiągnąć sukces,succeed,czasownik,A2
oskarżać,accuse,czasownik,B2
osoba,"individual, person",rzeczownik,A2
osoba dorosła,adult,rzeczownik,A1
osoba równa komuś,equal,rzeczownik,B2
osoba),first,rzeczownik,A2
osobisty,personal,przymiotnik,A1
osobiście,personally,przysłówek,B1
osobno,apart,przysłówek,B1
osobny,separate,przymiotnik,A2
osobowość,personality,rzeczownik,A2
ostatecznie,"eventually, finally, ultimately",przysłówek,B1
ostateczny,final,przymiotnik,A1
ostatni,last (final),określnik,A1
ostatni,"latest, recent",przymiotnik,B1
ostatni (osoba,last (final),rzeczownik,A2
ostatnio,"last (final), recently",przysłówek,A2
ostrożnie,carefully,przysłówek,A2
ostrożny,careful,przymiotnik,A2
ostry,"pointed, sharp, spicy",przymiotnik,B2
ostrzegać,warn,czasownik,B1
ostrzeżenie,warning,rzeczownik,B1
oszacowanie,assessment,rzeczownik,B2
oszczędność,saving,rzeczownik,B2
oszczędzać,save,czasownik,A2
oszukiwać,"cheat, trick",czasownik,B1
oszust,cheat,rzeczownik,B1
osąd,judgement,rzeczownik,B2
osłaniać,screen,czasownik,B2
otaczający,surrounding,przymiotnik,B2
otaczać,surround,czasownik,B2
otoczenie,setting,rzeczownik,B1
otrzymać,obtain,czasownik,B2
otrzymywać,receive,czasownik,A2
otwarcie,opening,rzeczownik,B2
otwarty,open,przymiotnik,A1
otwierać (się),open,czasownik,A1
otwór,"hole, opening",rzeczownik,A2
owad,insect,rzeczownik,A2
owca,sheep,rzeczownik,A1
owijać,"wind (turn), wrap",czasownik,B2
owoc,fruit,rzeczownik,A1
ozdabiać,decorate,czasownik,B1
ozdoba,decoration,rzeczownik,B2
oznaczać,"label, mean",czasownik,B1
ołówek,pencil,rzeczownik,A1
ośrodek wypoczynkowy,resort,rzeczownik,B2
oświadczać,state,czasownik,B1
oświadczenie,statement,rzeczownik,A1
ożywiony,lively,przymiotnik,B2
pa,bye,wykrzyknik,A1
pachnieć,smell,czasownik,A2
pacjent,patient,rzeczownik,A2
paczka,"pack, package",rzeczownik,B1
padać (o deszczu),rain,czasownik,A1
padać (o śniegu),snow,czasownik,A1
pagórek,hill,rzeczownik,A2
pająk,spider,rzeczownik,A2
pajęczyna,web,rzeczownik,A2
pakiet,package,rzeczownik,B1
pakować,"pack, package, wrap",czasownik,A2
palec,finger,rzeczownik,A2
palec u nogi,toe,rzeczownik,B1
palenie tytoniu,smoking,rzeczownik,A2
paliwo,fuel,rzeczownik,B1
palić,burn,czasownik,A2
palić (papierosy),smoke,czasownik,A2
pamiętać,remember,czasownik,A1
pamiętnik,diary,rzeczownik,A2
pamięć,memory,rzeczownik,A2
pan,"gentleman, lord, master",rzeczownik,B1
pan,you,zaimek,A1
pan (uprzejmie),sir,rzeczownik,A2
panel,panel,rzeczownik,B2
pani,lady,rzeczownik,A2
pani,you,zaimek,A1
panna młoda,bride,rzeczownik,B1
panowanie,control,rzeczownik,A2
panować,rule,czasownik,B1
papier,paper,rzeczownik,A1
papieros,cigarette,rzeczownik,A2
papryka,pepper,rzeczownik,A1
para,"couple, pair",rzeczownik,A2
paragon,receipt,rzeczownik,B1
parasol,umbrella,rzeczownik,A1
park,park,rzeczownik,A1
parking,parking,rzeczownik,A2
parkowanie,parking,rzeczownik,A2
parkować,park,czasownik,A1
parlament,parliament,rzeczownik,B2
parterowy,downstairs,przymiotnik,A2
partia,party,rzeczownik,A1
partner,partner,rzeczownik,A1
partnerka,partner,rzeczownik,A1
parzysty,even,przymiotnik,B2
parzyć,burn,czasownik,A2
pasażer,passenger,rzeczownik,A2
pasek,belt,rzeczownik,A2
